bed_room,builder,posession,price,price_per_sqft,super_area,title
3 BHK ,KMF Purab Manor,Ready To Move, ₹61.94 L ,3800/Sq.Ft.,1630 - 2072,3 BHK Residential Apartmentin Kadugodi
3 BHK ,Arvind Oasis,New Launch, ₹59 L ,6735/Sq.Ft.,876.07 - 1108.79,3 BHK Residential Apartmentin Tumkur Road
4 BHK ,Prestige Pine Wood,Possession in Jun  2020, ₹3.06 Cr,12433/Sq.Ft.,2461,4 BHK Residential Apartmentin Koramangala
2 BHK ,Salarpuria Sattva Cadenza,Ready To Move, ₹90.61 L,7659/Sq.Ft.,1183,2 BHK Residential Apartmentin Kudlu Gate
2 BHK ,DSR Waterscape,Possession in Aug  2019, ₹55.34 L - 58.36 L,4650/Sq.Ft.,1190 - 1255,2 BHK Residential Apartmentin Hormavu
2 BHK ,Nandi Citadel,Ready To Move, ₹58.5 L - 61.43 L,5850/Sq.Ft.,1000 - 1050,2 BHK Residential Apartmentin Bannerghatta Road
2 BHK ,PJC Pinacle,New Launch, ₹34.65 L - 37.8 L,3500/Sq.Ft.,990 - 1080,2 BHK Residential Apartmentin Hosa Road
3 BHK ,DSR Woodwinds,Ready To Move, ₹1.1 Cr - 1.1 Cr,5978/Sq.Ft.,1835 - 1840,3 BHK Residential Apartmentin Sarjapur  Road
3 BHK ,SLV Parkview,New Launch, ₹47.15 L - 53.69 L,3849/Sq.Ft.,1225 - 1395,3 BHK Residential Apartmentin Nagarbhavi
2 BHK ,SNN Raj Greenbay,Ready To Move, ₹67.63 L,4848/Sq.Ft.,1395,2 BHK Residential Apartmentin Electronic City Phase II
2 BHK ,Springseas Cross Winds,New Launch, ₹45.79 L - 54.67 L,4200/Sq.Ft.,1090.2 - 1301.7,2 BHK Residential Apartmentin Whitefield
2 BHK ,Prestige Royale Gardens,Possession in Sep  2018, ₹67.65 L ,5314/Sq.Ft.,1273 - 1304,2 BHK Residential Apartmentin Yelahanka
2 BHK ,Bren Imperia,Possession in Dec  2018, ₹90.14 L - 91.93 L,6633/Sq.Ft.,1359 - 1386,2 BHK Residential Apartmentin Harlur
3 BHK ,SSB Royale,Possession in Jul  2018, ₹49.14 L,3900/Sq.Ft.,1260,3 BHK Residential Apartmentin Hosa Road
1 BHK ,Balaji Elite Bangalore,Ready To Move, ₹21.2 L,2700/Sq.Ft.,785,1 BHK Residential Apartmentin Bommasandra
2 BHK ,DSR Lotus Towers,Possession in Sep  2019, ₹83.9 L,5794/Sq.Ft.,1448,2 BHK Residential Apartmentin Whitefield
3 BHK ,SM Zinnia,Possession in Jun  2019, ₹46.22 L - 54.92 L,3555/Sq.Ft.,1300 - 1545,3 BHK Residential Apartmentin Balagere
4 BHK ,L and T Raintree Boulevard,Possession in Dec  2020, ₹1.84 Cr,10587/Sq.Ft.,1738,4 BHK Residential Apartmentin Hebbal
2 BHK ,Uniworth Serenity,Possession in Jul  2018, ₹44.66 L - 54.48 L,4090/Sq.Ft.,1092 - 1332,2 BHK Residential Apartmentin Kengeri
2 BHK ,TG Ascent,Possession in Dec  2019, ₹52 L - 57.31 L,4622/Sq.Ft.,1125 - 1240,2 BHK Residential Apartmentin Hosa Road
1 BHK ,Ahad Excellencia,Possession in Aug  2020, ₹50.57 L,4779/Sq.Ft.,1058.27,1 BHK Residential Apartmentin Sarjapur  Road
,LG Champion Green County,Immediate Possession, ₹18 L - 60 L,1500/Sq.Ft.,1200 - 4000,Residential Land/Plotin Chikkaballapur
1 BHK ,MBM Green Woods,Ready To Move, ₹29.81 L,4800/Sq.Ft.,621,1 BHK Residential Apartmentin 8th Phase JP Nagar
3 BHK ,R Sun Clover,Possession in Apr  2020, ₹48.59 L - 63.98 L,3999/Sq.Ft.,1215 - 1600,3 BHK Residential Apartmentin Bhoganhalli
2 BHK ,Elegant Whispering Winds,Possession in Dec  2018, ₹56.33 L,3970/Sq.Ft.,1419,2 BHK Residential Apartmentin Kanakpura Road
3 BHK ,Bren Imperia,Possession in Dec  2018, ₹1.18 Cr,6633/Sq.Ft.,1778,3 BHK Residential Apartmentin Harlur
2 BHK ,SSB Royale,Possession in Jul  2018, ₹39.62 L - 47.81 L,3900/Sq.Ft.,1016 - 1226,2 BHK Residential Apartmentin Hosa Road
2 BHK ,Sri Sai Shinduja Residency,Possession in Dec  2018, ₹51.92 L - 55.52 L,4499/Sq.Ft.,1154 - 1234,2 BHK Residential Apartmentin Uttarahalli
2 BHK ,SM Zinnia,Possession in Jun  2019, ₹37.65 L - 43.51 L,3555/Sq.Ft.,1059 - 1224,2 BHK Residential Apartmentin Balagere
2 BHK ,Parthu Pride,Possession in Dec  2018, ₹42 L - 48.3 L,4200/Sq.Ft.,1000 - 1150,2 BHK Residential Apartmentin Nallurhalli
2 BHK ,MBM Green Woods,Ready To Move, ₹43.63 L - 53.57 L,4800/Sq.Ft.,909 - 1116,2 BHK Residential Apartmentin 8th Phase JP Nagar
3 BHK ,DSR Sunrise Towers,Ready To Move, ₹95 L - 1.11 Cr,5572/Sq.Ft.,1705 - 2000,3 BHK Residential Apartmentin A K Gopalan Colony
